"StateFIPS","State","ZCTA","ZIP Code Tabulation Areas","Year","Value","Data Comment",
"36","New York","3610926","New York - 3610926 - ZCTA","2024","0.3378","",
"36","New York","3610927","New York - 3610927 - ZCTA","2024","0.5801","",
"36","New York","3610928","New York - 3610928 - ZCTA","2024","0.4002","",
"36","New York","3610930","New York - 3610930 - ZCTA","2024","0.0362","",
"36","New York","3610931","New York - 3610931 - ZCTA","2024","0.4637","",
"36","New York","3610932","New York - 3610932 - ZCTA","2024","0.1648","",
"36","New York","3610933","New York - 3610933 - ZCTA","2024","0.0674","",
"36","New York","3610940","New York - 3610940 - ZCTA","2024","0.7301","",
"36","New York","3610941","New York - 3610941 - ZCTA","2024","0.5912","",
"36","New York","3610950","New York - 3610950 - ZCTA","2024","0.6477","",
"36","New York","3610952","New York - 3610952 - ZCTA","2024","0.6567","",
"36","New York","3610953","New York - 3610953 - ZCTA","2024","0.1003","",
"36","New York","3610954","New York - 3610954 - ZCTA","2024","0.3778","",
"36","New York","3610956","New York - 3610956 - ZCTA","2024","0.0698","",
"36","New York","3610958","New York - 3610958 - ZCTA","2024","0.1172","",
"36","New York","3610960","New York - 3610960 - ZCTA","2024","0.5674","",
"36","New York","3610962","New York - 3610962 - ZCTA","2024","0.2288","",
"36","New York","3610963","New York - 3610963 - ZCTA","2024","0.4414","",
"36","New York","3610964","New York - 3610964 - ZCTA","2024","0.1230","",
"36","New York","3610965","New York - 3610965 - ZCTA","2024","0.3373","",
"36","New York","3610968","New York - 3610968 - ZCTA","2024","0.3305","",
"36","New York","3610969","New York - 3610969 - ZCTA","2024","0.0111","",
"36","New York","3610970","New York - 3610970 - ZCTA","2024","0.5478","",
"36","New York","3610973","New York - 3610973 - ZCTA","2024","0.3014","",
"36","New York","3610974","New York - 3610974 - ZCTA","2024","0.2952","",
"36","New York","3610975","New York - 3610975 - ZCTA","2024","0.0137","",
"36","New York","3610976","New York - 3610976 - ZCTA","2024","0.6610","",
