date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min
2024-04-24 04:00:00+00:00,55.852997,70.1105,47.0705,50.031773,66.134964,40.64492
2024-04-25 04:00:00+00:00,45.401752,53.7305,37.350502,38.10176,49.980026,28.618416
2024-04-26 04:00:00+00:00,46.031754,57.7805,34.6505,40.64628,56.736996,28.80478
2024-04-27 04:00:00+00:00,47.895504,57.6905,37.0805,41.438145,51.420784,31.026533
2024-04-28 04:00:00+00:00,59.153004,72.63049,47.4305,58.008514,74.67769,42.42653
2024-04-29 04:00:00+00:00,67.290504,82.530495,55.8005,69.17576,89.612755,53.017418
2024-04-30 04:00:00+00:00,59.415485,72.8105,51.8405,57.790745,75.18717,48.38298
2024-05-01 04:00:00+00:00,59.3255,76.140495,50.4005,58.03532,76.31517,46.815823
2024-05-02 04:00:00+00:00,64.63175,81.63049,50.0405,62.953842,85.05638,47.425873
2024-05-03 04:00:00+00:00,56.044254,62.640495,49.1405,51.840633,60.805595,46.743423
2024-05-04 04:00:00+00:00,52.372997,61.380497,45.7205,48.24536,57.773396,43.01618
2024-05-05 04:00:00+00:00,50.692997,53.280502,48.0605,45.684284,52.85002,41.926453
2024-05-06 04:00:00+00:00,61.763,72.3605,53.100502,62.801163,74.149704,52.717564
2024-05-07 04:00:00+00:00,66.01551,78.570496,53.5505,64.539375,79.00141,50.33758
2024-05-08 04:00:00+00:00,73.031746,87.1205,60.3005,71.61661,85.11991,61.040047
2024-05-09 04:00:00+00:00,63.045498,69.390495,57.3305,60.040314,66.21482,53.254906
2024-05-10 04:00:00+00:00,50.693005,58.6805,48.600502,45.79651,55.237488,42.46363
2024-05-11 04:00:00+00:00,52.08801,61.380497,43.2905,47.500385,57.578873,39.76323
2024-05-12 04:00:00+00:00,50.584244,55.8005,47.1605,46.68051,51.84832,43.9945
2024-05-13 04:00:00+00:00,54.773006,67.5905,42.1205,51.14001,64.340744,38.124012
2024-05-14 04:00:00+00:00,60.919247,72.1805,48.600502,59.317616,71.39395,45.852108
2024-05-15 04:00:00+00:00,59.880497,67.140495,55.8905,57.95119,62.42792,54.09614
2024-05-16 04:00:00+00:00,61.316753,65.7905,58.5005,57.40131,63.356316,53.396397
2024-05-17 04:00:00+00:00,62.989246,72.3605,53.3705,61.485607,70.91049,51.144867
2024-05-18 04:00:00+00:00,61.52676,72.63049,55.350502,60.945286,72.52051,54.34702
2024-05-19 04:00:00+00:00,61.695496,73.6205,54.0905,60.299694,73.049416,53.54111
2024-05-20 04:00:00+00:00,61.054256,74.4305,50.850502,61.048553,78.80316,49.57605
2024-05-21 04:00:00+00:00,66.08301,80.3705,53.8205,67.80874,86.46991,53.01306
2024-05-22 04:00:00+00:00,71.168,82.9805,59.9405,72.18356,87.04656,59.868034
2024-05-23 04:00:00+00:00,72.50298,80.460495,65.7005,75.18211,82.70119,68.35019
2024-05-24 04:00:00+00:00,72.217995,84.4205,60.0305,72.24772,82.454765,60.522514
2024-05-25 04:00:00+00:00,66.908,78.390495,56.7005,66.25309,80.84306,54.968456
2024-05-26 04:00:00+00:00,67.568,78.4805,59.850502,70.19999,83.251854,61.491093
2024-05-27 04:00:00+00:00,66.19924,72.1805,62.4605,67.315125,71.866684,62.601433
2024-05-28 04:00:00+00:00,71.224236,80.3705,63.630497,71.024765,79.01669,62.496513
2024-05-29 04:00:00+00:00,65.82425,76.7705,56.7905,66.18185,78.609085,56.26729
2024-05-30 04:00:00+00:00,63.285503,70.6505,56.7005,60.771023,68.030396,54.966145
2024-05-31 04:00:00+00:00,65.0855,76.5905,55.350502,60.06087,72.19105,50.45272
2024-06-01 04:00:00+00:00,69.01176,82.2605,55.260498,65.98248,81.68554,50.80777
2024-06-02 04:00:00+00:00,69.52549,80.7305,57.2405,68.2665,80.629105,53.496567
2024-06-03 04:00:00+00:00,74.168,85.6805,63.180496,76.24619,90.18236,64.672
2024-06-04 04:00:00+00:00,69.03425,77.7605,61.290497,70.86548,81.162384,63.219677
2024-06-05 04:00:00+00:00,68.14924,78.8405,58.0505,70.56129,82.3876,58.35749
2024-06-06 04:00:00+00:00,73.26426,81.5405,66.5105,77.27637,87.336105,65.44541
2024-06-07 04:00:00+00:00,73.09925,82.9805,63.180496,73.025566,81.48694,63.40793
2024-06-08 04:00:00+00:00,68.35175,77.13049,59.4005,64.74274,72.10613,56.140156
2024-06-09 04:00:00+00:00,68.363,77.3105,57.7805,65.928505,73.967766,57.40593
2024-06-10 04:00:00+00:00,66.60425,75.6005,57.9605,63.247543,71.47781,54.98699
2024-06-11 04:00:00+00:00,65.5805,73.6205,56.6105,64.868904,73.335495,56.04993
2024-06-12 04:00:00+00:00,67.414246,78.030495,57.6905,66.8266,77.00087,57.21446
2024-06-13 04:00:00+00:00,70.89425,83.8805,56.7005,70.17585,85.66737,56.113285
2024-06-14 04:00:00+00:00,73.312996,84.960495,66.6005,76.66918,92.982765,67.36429
2024-06-15 04:00:00+00:00,70.87176,80.9105,62.3705,69.60395,78.6295,60.125164
2024-06-16 04:00:00+00:00,66.124245,74.88049,57.6905,64.22689,76.7542,54.184296
2024-06-17 04:00:00+00:00,72.656746,84.7805,60.570503,73.7176,87.6212,61.88792
2024-06-18 04:00:00+00:00,76.729256,85.5005,68.49049,79.03576,91.77258,70.17524
2024-06-19 04:00:00+00:00,76.523,87.5705,67.2305,78.266685,94.11532,69.38377
2024-06-20 04:00:00+00:00,79.12925,91.710495,67.320496,81.547935,95.857994,68.94637
2024-06-21 04:00:00+00:00,81.833,95.5805,72.4505,85.004906,101.75446,73.124466
2024-06-22 04:00:00+00:00,80.39299,93.960495,71.7305,86.58405,103.5814,77.02343
2024-06-23 04:00:00+00:00,84.360504,96.9305,72.3605,86.65511,97.331696,76.19203
2024-06-24 04:00:00+00:00,77.107994,80.5505,71.7305,73.60056,81.88614,66.01279
2024-06-25 04:00:00+00:00,79.14424,92.52049,67.8605,76.45229,92.69068,62.84983
2024-06-26 04:00:00+00:00,82.75549,96.1205,73.3505,83.656654,100.60628,72.06845
2024-06-27 04:00:00+00:00,76.9955,86.3105,70.5605,78.22454,84.66847,66.14691
2024-06-28 04:00:00+00:00,68.0405,77.4005,59.4005,65.3016,79.8293,57.45034
2024-06-29 04:00:00+00:00,73.219246,80.0105,63.720497,73.62464,79.33271,64.7999
2024-06-30 04:00:00+00:00,78.937996,91.8005,71.280495,84.13632,96.16616,72.030334
2024-07-01 04:00:00+00:00,71.085495,80.0105,61.290497,68.061806,76.33052,58.62741
2024-07-02 04:00:00+00:00,72.570496,83.3405,61.2005,71.947624,87.8228,59.149864
2024-07-03 04:00:00+00:00,72.59675,82.1705,62.5505,71.13783,81.64597,62.575066
2024-07-04 04:00:00+00:00,76.27926,86.49049,66.6005,79.058136,92.470184,66.0357
2024-07-05 04:00:00+00:00,79.999245,89.640495,71.3705,86.98965,98.53736,78.08655
2024-07-06 04:00:00+00:00,82.16675,91.3505,72.9005,89.814125,102.30028,77.90587
2024-07-07 04:00:00+00:00,81.803,90.3605,74.5205,88.198204,97.9816,78.36125
2024-07-08 04:00:00+00:00,80.23176,90.99049,73.530495,87.27485,98.46033,80.59338
2024-07-09 04:00:00+00:00,80.171745,87.4805,72.0005,87.46754,95.856705,79.18817
2024-07-10 04:00:00+00:00,82.147995,89.3705,76.140495,87.2717,96.90838,81.63904
2024-07-11 04:00:00+00:00,82.088005,93.7805,75.1505,85.19164,92.77012,78.63244
2024-07-12 04:00:00+00:00,76.991745,84.6905,70.9205,82.05921,89.089584,74.98671
2024-07-13 04:00:00+00:00,77.32176,87.0305,70.5605,84.289474,95.89976,74.0201
2024-07-14 04:00:00+00:00,80.318,88.1105,71.1005,87.168335,96.66622,76.74754
2024-07-15 04:00:00+00:00,83.453,95.0405,73.2605,89.89462,100.61125,80.72657
2024-07-16 04:00:00+00:00,83.7005,95.0405,72.4505,88.29653,98.82982,77.58577
2024-07-17 04:00:00+00:00,80.87299,89.3705,74.6105,88.772255,97.889786,82.18604
2024-07-18 04:00:00+00:00,77.85424,87.210495,70.2005,81.336655,89.66408,72.57266
2024-07-19 04:00:00+00:00,74.501755,83.7005,63.990498,74.22721,83.98697,62.20875
2024-07-20 04:00:00+00:00,75.05299,83.5205,63.630497,77.192986,84.04031,65.04172
2024-07-21 04:00:00+00:00,78.311745,88.2005,67.140495,81.84814,93.93114,70.637245
2024-07-22 04:00:00+00:00,76.02801,82.8005,69.6605,80.228294,88.82204,74.763626
2024-07-23 04:00:00+00:00,75.836754,84.960495,69.570496,82.721504,91.78787,76.326416
2024-07-24 04:00:00+00:00,75.851746,84.7805,69.8405,81.63027,89.96849,73.42045
2024-07-25 04:00:00+00:00,76.75175,86.9405,68.8505,80.08259,89.16597,70.456985
2024-07-26 04:00:00+00:00,74.66675,84.6005,64.3505,72.78374,83.89654,60.47635
2024-07-27 04:00:00+00:00,75.4355,85.6805,63.4505,75.97645,85.75623,63.43658
